id,symbol,name,current_price,market_cap,high_24h,low_24h
bitcoin,btc,Bitcoin,115651.0,2301378744150,119415.0,115110.0
ethereum,eth,Ethereum,3685.94,445068990543,3754.29,3585.87
ripple,xrp,XRP,3.06,181832666085,3.25,3.06
tether,usdt,Tether,1.0,163057403253,1.001,0.999967
binancecoin,bnb,BNB,770.8,107387994201,784.63,754.39
solana,sol,Solana,179.88,96890897926,190.84,176.94
usd-coin,usdc,USDC,0.999859,64315935906,1.0,0.99979
dogecoin,doge,Dogecoin,0.228665,34365144683,0.243688,0.223158
staked-ether,steth,Lido Staked Ether,3678.81,33088932883,3751.14,3578.87
tron,trx,TRON,0.314995,29846307651,0.316669,0.310806
cardano,ada,Cardano,0.793449,28828780373,0.835575,0.78967
wrapped-bitcoin,wbtc,Wrapped Bitcoin,115492.0,14873485583,119310.0,114929.0
wrapped-steth,wsteth,Wrapped stETH,4451.12,14386033238,4527.56,4328.27
hyperliquid,hype,Hyperliquid,42.84,14299038951,43.51,41.25
stellar,xlm,Stellar,0.417067,13038294164,0.446064,0.412114
sui,sui,Sui,3.72,12864432621,3.86,3.6
chainlink,link,Chainlink,17.95,12207401740,18.64,17.34
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3957.74,11785152051,4026.89,3850.63
bitcoin-cash,bch,Bitcoin Cash,540.15,10778207448,561.55,510.76
wrapped-eeth,weeth,Wrapped eETH,3948.48,10342424095,4016.67,3837.63
hedera-hashgraph,hbar,Hedera,0.242192,10270413579,0.258206,0.234009
avalanche-2,avax,Avalanche,23.54,9948161595,24.4,22.96
litecoin,ltc,Litecoin,113.96,8683749245,116.03,108.76
leo-token,leo,LEO Token,8.97,8283658583,9.0,8.94
weth,weth,WETH,3686.97,8143862755,3751.83,3585.78
shiba-inu,shib,Shiba Inu,1.358e-05,8011265520,1.399e-05,1.316e-05
the-open-network,ton,Toncoin,3.13,7740657006,3.28,3.05
usds,usds,USDS,0.999788,7626997377,1.0,0.999729
ethena-usde,usde,Ethena USDe,1.0,7036094725,1.005,0.997977
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.002,6793987964,1.006,0.996118
whitebit,wbt,WhiteBIT Coin,43.42,6257775104,44.61,43.06
uniswap,uni,Uniswap,10.25,6163987591,10.6,9.77
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,115553.0,6103152316,119452.0,115085.0
polkadot,dot,Polkadot,3.99,6089432511,4.12,3.89
monero,xmr,Monero,325.32,6005959063,338.1,319.22
pepe,pepe,Pepe,1.226e-05,5159437762,1.299e-05,1.183e-05
bitget-token,bgb,Bitget Token,4.49,5124757616,4.65,4.42
aave,aave,Aave,292.12,4444248113,294.86,282.14
crypto-com-chain,cro,Cronos,0.129132,4175564441,0.132884,0.124529
ethena-staked-usde,susde,Ethena Staked USDe,1.19,4063116436,1.19,1.18
bittensor,tao,Bittensor,411.66,3917561427,434.71,404.7
dai,dai,Dai,0.99985,3723251181,1.0,0.999372
ethena,ena,Ethena,0.567263,3604741738,0.581219,0.46688
ethereum-classic,etc,Ethereum Classic,22.31,3412414547,23.07,21.62
near,near,NEAR Protocol,2.75,3405545099,2.82,2.62
pi-network,pi,Pi Network,0.437817,3381121699,0.447622,0.435623
ondo-finance,ondo,Ondo,1.019,3217401028,1.075,0.983868
aptos,apt,Aptos,4.68,3039026929,4.77,4.56
internet-computer,icp,Internet Computer,5.5,2948900975,5.74,5.34
jito-staked-sol,jitosol,Jito Staked SOL,218.27,2879218692,232.86,215.15
okb,okb,OKB,47.78,2866791598,48.61,47.38
bonk,bonk,Bonk,3.371e-05,2614114979,3.736e-05,3.21e-05
kaspa,kas,Kaspa,0.097053,2560044193,0.102531,0.095371
mantle,mnt,Mantle,0.748864,2522013775,0.764789,0.734284
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2412971095,1.0,1.0
pudgy-penguins,pengu,Pudgy Penguins,0.03643351,2298585604,0.04130286,0.03612276
algorand,algo,Algorand,0.259311,2254635635,0.272305,0.252432
arbitrum,arb,Arbitrum,0.437377,2253739603,0.447697,0.41764
binance-peg-weth,weth,Binance-Peg WETH,3700.13,2237046969,3754.3,3584.23
usd1-wlfi,usd1,USD1,1.002,2210682839,1.002,0.998818
vechain,vet,VeChain,0.02515973,2177471908,0.02591016,0.02415074
cosmos,atom,Cosmos Hub,4.6,2122709631,4.8,4.53
